#
# Database of MicroSoft specific data needed by the
# AFM compiler for AFM to PFM conversion.
# Fields are as follows:
#   1.) Adobe PostScript name of the face.
#   2.) MicroSoft name of the face. 
#   3.) MicroSoft family name:
#         Swiss = SansSerif
#         Roman = Serif
#         Modern = Monospaced
#         Script = handwriting
#         Decorative = Special 
#

#
# Windows 3.5 Japanese fonts.
#

#
# Adobe Fonts.  The following typefaces are defined in
# PS driver internal PFM data.
#

TBRyokanM-hv-RKSJ-V:@TBRyokanM hv:Roman
TBTsukijiG-B-RKSJ-H:TBTsukijiG B:Modern
TBTsukijiG-B-RKSJ-V:@TBTsukijiG B:Modern
TBTsukijiG-hv-RKSJ-H:TBTsukijiG hv:Modern
TBTsukijiG-hv-RKSJ-V:@TBTsukijiG hv:Modern
TBTsukijiM-M-RKSJ-H:TBTsukijiM M:Roman
TBTsukijiM-M-RKSJ-V:@TBTsukijiM M:Roman
TBTsukijiM-hv-RKSJ-H:TBTsukijiM hv:Roman
TBTsukijiM-hv-RKSJ-V:@TBTsukijiM hv:Roman
TBYukinariG-B-RKSJ-H:TBYukinariG B:Modern
TBYukinariG-B-RKSJ-V:@TBYukinariG B:Modern
TBYukinariG-hv-RKSJ-H:TBYukinariG hv:Modern
TBYukinariG-hv-RKSJ-V:@TBYukinariG hv:Modern
TBYukinariM-M-RKSJ-H:TBYukinariM M:Roman
TBYukinariM-M-RKSJ-V:@TBYukinariM M:Roman
TBYukinariM-hv-RKSJ-H:TBYukinariM hv:Roman
TBYukinariM-hv-RKSJ-V:@TBYukinariM hv:Roman
LogoArl-Bold-RKSJ-H:LogoArl Bold:Modern
LogoArl-Bold-RKSJ-V:@LogoArl Bold:Modern
LogoArl-Light-RKSJ-H:LogoArl Light:Modern
LogoArl-Light-RKSJ-V:@LogoArl Light:Modern
LogoArl-Medium-RKSJ-H:LogoArl Medium:Modern
LogoArl-Medium-RKSJ-V:@LogoArl Medium:Modern
LogoArl-Ultra-RKSJ-H:LogoArl Ultra:Modern
LogoArl-Ultra-RKSJ-V:@LogoArl Ultra:Modern
LogoCut-Bold-RKSJ-H:LogoCut Bold:Modern
LogoCut-Bold-RKSJ-V:@LogoCut Bold:Modern
LogoCut-Light-RKSJ-H:LogoCut Light:Modern
LogoCut-Light-RKSJ-V:@LogoCut Light:Modern
LogoCut-Medium-RKSJ-H:LogoCut Medium:Modern
LogoCut-Medium-RKSJ-V:@LogoCut Medium:Modern
LogoCut-Ultra-RKSJ-H:LogoCut Ultra:Modern
LogoCut-Ultra-RKSJ-V:@LogoCut Ultra:Modern
LogoLine-Bold-RKSJ-H:LogoLine Bold:Modern
LogoLine-Bold-RKSJ-V:@LogoLine Bold:Modern
LogoLine-Light-RKSJ-H:LogoLine Light:Modern
LogoLine-Light-RKSJ-V:@LogoLine Light:Modern
LogoLine-Medium-RKSJ-H:LogoLine Medium:Modern
LogoLine-Medium-RKSJ-V:@LogoLine Medium:Modern
LogoLine-Ultra-RKSJ-H:LogoLine Ultra:Modern
LogoLine-Ultra-RKSJ-V:@LogoLine Ultra:Modern

#
# QMS Japan Fonts
#

TypeBankG-B-RKSJ-H:TypeBankG B:Modern
TypeBankG-B-RKSJ-V:@TypeBankG B:Modern
TypeBankG-H-RKSJ-H:TypeBankG H:Modern
TypeBankG-H-RKSJ-V:@TypeBankG H:Modern
TypeBankM-H-RKSJ-H:TypeBankM H:Roman
TypeBankM-H-RKSJ-V:@TypeBankM H:Roman
TypeBankM-M-RKSJ-H:TypeBankM M:Roman
TypeBankM-M-RKSJ-V:@TypeBankM M:Roman

#
# APTi Fonts
#

HeiseiKakuGothicW5-Medium-RKSJ-H:HeiseiKakuGothicW5 Medium:Modern
HeiseiKakuGothicW5-Medium-RKSJ-V:@HeiseiKakuGothicW5 Medium:Modern
HeiseiMinchoW3-Light-RKSJ-H:HeiseiMinchoW3 Light:Roman
HeiseiMinchoW3-Light-RKSJ-V:@HeiseiMinchoW3 Light:Roman
NIS-M5-RKSJ-H:NIS M5:Roman
NIS-M5-RKSJ-V:@NIS M5:Roman
NIS-R1-RKSJ-H:NIS R1:Modern
NIS-R1-RKSJ-V:@NIS R1:Modern
